smiles,mu,gap,cv,TPSA
Cn1cc2c(n1)COC2,3.2604,0.2381,28.343,27.05
CC(CC#N)NC=O,5.6112,0.2805,30.648,52.89
CC12OC1C1(O)CCC21,0.8957,0.3107,32.99,32.76
CC12C3C4C1CC4C23C,0.2318,0.3222,32.134,0.0
CC1C2OC(C=C2)C1C,1.6154,0.2537,32.301,9.23
CC(O)C1CC(C1)C=O,3.6549,0.2235,36.156,37.3
C1C2CN1CCOC=N2,1.4369,0.2077,29.239,24.83
CCC(C)(O)C(=O)CO,3.9387,0.236,39.964,57.53
CC1COC1C(C)(C)O,1.7331,0.2987,39.388,29.46
OC(C#N)C1OCC1O,3.5044,0.2878,30.894,73.48
CCN1CC1C(=O)C=O,1.2334,0.1374,33.436,37.15
CC12NC1(C)C1NC21,2.0603,0.3223,29.558,43.88
CC(C#N)C1C2CC1O2,3.8241,0.2822,31.105,33.019999999999996
CN1CC2COC(=O)C12,3.7851,0.2226,29.447,29.54
CC12CC(=O)CC1(C)O2,3.4022,0.2263,33.891,29.6
CN=C1NC(C)C1(C)O,2.1623,0.2553,38.634,44.620000000000005
OC12CC3(CC1C23)C=O,3.2518,0.2165,30.329,37.3
COCC(C)OC=N,2.8587,0.275,33.293,42.31
CC#CC(=NO)CC#C,0.6435,0.2018,35.945,32.59
OCC1=CNC(=N)O1,2.3042,0.216,27.598,73.00999999999999
OC1(CC1)C1CCO1,1.2588,0.3088,30.215,29.46
OC12CC3(O)C1C=CC23,1.8575,0.2264,30.674,40.46
O=CC1C2OC2C2OC12,3.9886,0.221,26.748,42.13
CN1C2COC2(C)C1=O,4.225,0.2521,32.016,29.54
CNC(=O)N1CCC1=O,1.4084,0.2417,31.599,49.410000000000004
O=CCC12CC1OC2,2.1121,0.2087,27.305,26.3
CCN=COC(C)C=O,3.0641,0.2171,36.98,38.66
CC12CN1CCOC2,0.4193,0.3068,28.93,12.24
CC(C)(CO)C#CCO,1.0433,0.2863,40.591,40.46
OC1CCC1CCC=O,3.8854,0.2285,35.542,37.3
CCC1CC2(C)COC12,1.7044,0.3104,35.763,9.23
OC1C=CC2C3C1CN23,0.8876,0.2196,28.738,23.240000000000002
CCC(C)CCC1CO1,1.7065,0.346,39.703,12.53
CC1CN2C=NC=C2C1,4.4142,0.2495,29.304,17.82
CCC1C2(O)COC12C,1.9923,0.2895,36.737,29.46
COC1(C)CC1C,1.0119,0.3312,31.251,9.23
CC1CC(O)C2CN2C1,2.2552,0.2857,34.67,23.240000000000002
CC1OCC=CC2NC12,2.2704,0.2479,31.941,31.17
CC(=O)C1(CCC1)C#N,2.4531,0.2287,33.292,40.86
COc1nc(c(o1)N)O,1.5152,0.2297,31.522,81.51
C1CC23CC(C4OC24)C13,1.9713,0.318,27.639,12.53
C1NC11C2C3C1CCN23,2.472,0.2997,28.297,24.950000000000003
CC1OC2(CC2)C2NC12,2.5757,0.2968,32.2,31.17
OCC1=CNC(=N)C=N1,1.5257,0.1491,29.992,72.75999999999999
C#CC#CC(=O)C(=N)N,1.6646,0.1598,32.669,66.94
CN(C)c1c([nH]nn1)N,4.329,0.2256,33.392,70.83
COC(C)C1CNC1=O,3.0005,0.2838,35.239,38.33
COC1OCC(=C1)C#C,0.5258,0.2128,32.299,18.46
C#CC1=CCC=CCC1,0.7213,0.2057,33.052,0.0
NC1=NC(=O)NC(=N)N1,4.7518,0.2348,29.274,111.41
OCC1CC(=O)CN1,3.0399,0.2099,29.022,49.33
CC1(CCO1)C#CCO,1.3061,0.2744,35.32,29.46
NC(C#C)C(=O)OC=N,1.4006,0.2263,33.48,76.17000000000002
CC1CC23CC(C2O)C13,1.5351,0.3053,33.415,20.23
COCC(C)(C=O)C#N,1.7816,0.2095,35.802,50.09
COC12COCC1C2O,1.2597,0.296,32.439,38.69
N#CC12CCN(CC1)C2,3.6183,0.275,29.102,27.03
CC1CC2(C)N=COC12,1.5613,0.2627,32.356,21.59
C#CC1C2OC=NC12,1.4766,0.2442,24.264,21.59
