sample_step,avg_loss,time,lr,cond
640,3.498196,1768477153.137,0.0002,Y
1280,3.482395,1768477162.052,0.0002,Y
1920,3.470190,1768477170.938,0.0002,Y
2560,3.459450,1768477180.021,0.0002,Y
3200,3.449593,1768477188.976,0.0002,Y
3840,3.435490,1768477197.961,0.0002,Y
4480,3.426562,1768477206.914,0.0002,Y
5120,3.407700,1768477215.737,0.0002,Y
5760,3.396204,1768477224.670,0.0002,Y
6400,3.390667,1768477233.565,0.0002,Y
7040,3.373474,1768477242.626,0.0002,Y
7680,3.362304,1768477251.601,0.0002,Y
8320,3.350661,1768477260.601,0.0002,Y
8960,3.339408,1768477269.448,0.0002,Y
9600,3.323672,1768477278.379,0.0002,Y
10240,3.318015,1768477287.339,0.0002,Y
10880,3.313775,1768477296.223,0.0002,Y
11520,3.287098,1768477305.251,0.0002,Y
12160,3.271686,1768477314.154,0.0002,Y
12800,3.260834,1768477323.055,0.0002,Y
13440,3.255846,1768477331.974,0.0002,Y
14080,3.238102,1768477340.810,0.0002,Y
14720,3.219418,1768477349.719,0.0002,Y
15360,3.204721,1768477358.647,0.0002,Y
16000,3.225458,1768477367.702,0.0002,Y
16640,3.167489,1768477376.751,0.0002,Y
17280,3.167808,1768477385.634,0.0002,Y
17920,3.151090,1768477394.501,0.0002,Y
18560,3.108746,1768477403.374,0.0002,Y
19200,3.110838,1768477412.187,0.0002,Y
19840,3.079619,1768477421.078,0.0002,Y
20480,3.111175,1768477430.006,0.0002,Y
21120,3.085435,1768477438.905,0.0002,Y
21760,3.051233,1768477447.767,0.0002,Y
22400,3.053927,1768477456.510,0.0002,Y
23040,3.019062,1768477465.329,0.0002,Y
23680,3.019709,1768477474.114,0.0002,Y
24320,3.040751,1768477482.902,0.0002,Y
24960,3.004943,1768477491.875,0.0002,Y
25600,2.988249,1768477500.829,0.0002,Y
26240,2.915042,1768477509.689,0.0002,Y
26880,2.970627,1768477518.588,0.0002,Y
27520,2.906284,1768477527.551,0.0002,Y
28160,2.878531,1768477536.397,0.0002,Y
28800,2.865675,1768477545.288,0.0002,Y
29440,2.879117,1768477554.194,0.0002,Y
30080,2.803810,1768477563.334,0.0002,Y
30720,2.783392,1768477572.158,0.0002,Y
31360,2.821424,1768477580.974,0.0002,Y
32000,2.760081,1768477589.867,0.0002,Y
32640,2.763339,1768477598.807,0.0002,Y
33280,2.795317,1768477607.654,0.0002,Y
33920,2.747168,1768477616.494,0.0002,Y
34560,2.692904,1768477625.464,0.0002,Y
35200,2.699799,1768477634.312,0.0002,Y
35840,2.683312,1768477643.105,0.0002,Y
36480,2.726957,1768477652.010,0.0002,Y
37120,2.773134,1768477660.880,0.0002,Y
37760,2.662186,1768477669.699,0.0002,Y
38400,2.571213,1768477678.619,0.0002,Y
39040,2.632684,1768477687.635,0.0002,Y
39680,2.655215,1768477696.535,0.0002,Y
40320,2.591665,1768477705.492,0.0002,Y
40960,2.560429,1768477714.356,0.0002,Y
41600,2.546566,1768477723.245,0.0002,Y
42240,2.526983,1768477732.054,0.0002,Y
42880,2.560391,1768477740.865,0.0002,Y
43520,2.556932,1768477749.838,0.0002,Y
44160,2.529889,1768477758.870,0.0002,Y
44800,2.461761,1768477767.719,0.0002,Y
45440,2.499335,1768477776.621,0.0002,Y
46080,2.462383,1768477785.453,0.0002,Y
46720,2.429747,1768477794.586,0.0002,Y
47360,2.433684,1768477803.732,0.0002,Y
48000,2.432483,1768477812.738,0.0002,Y
48640,2.439991,1768477821.794,0.0002,Y
49280,2.403235,1768477830.694,0.0002,Y
49920,2.388492,1768477839.566,0.0002,Y
50560,2.394289,1768477848.560,0.0002,Y
51200,2.422946,1768477857.422,0.0002,Y
51840,2.414925,1768477866.298,0.0002,Y
52480,2.344507,1768477875.182,0.0002,Y
53120,2.415739,1768477884.292,0.0002,Y
53760,2.371290,1768477893.196,0.0002,Y
54400,2.311514,1768477902.159,0.0002,Y
55040,2.312806,1768477911.173,0.0002,Y
55680,2.340781,1768477920.017,0.0002,Y
56320,2.359937,1768477928.953,0.0002,Y
56960,2.254613,1768477937.851,0.0002,Y
57600,2.271888,1768477946.783,0.0002,Y
58240,2.338683,1768477955.548,0.0002,Y
58880,2.348348,1768477964.342,0.0002,Y
59520,2.210302,1768477973.164,0.0002,Y
60160,2.315421,1768477981.911,0.0002,Y
60800,2.273372,1768477990.846,0.0002,Y
61440,2.282311,1768477999.723,0.0002,Y
62080,2.282443,1768478008.676,0.0002,Y
62720,2.213648,1768478017.585,0.0002,Y
63360,2.273662,1768478026.604,0.0002,Y
64000,2.188181,1768478035.668,0.0002,Y
64640,2.323603,1768478044.857,0.0002,Y
65280,2.218341,1768478053.834,0.0002,Y
65920,2.254761,1768478062.774,0.0002,Y
66560,2.220152,1768478071.732,0.0002,Y
67200,2.154486,1768478080.689,0.0002,Y
67840,2.066266,1768478089.497,0.0002,Y
68480,2.183538,1768478098.400,0.0002,Y
69120,2.232462,1768478107.278,0.0002,Y
69760,2.184834,1768478116.218,0.0002,Y
70400,2.221136,1768478125.164,0.0002,Y
71040,2.128513,1768478134.293,0.0002,Y
71680,2.136745,1768478143.489,0.0002,Y
72320,2.107564,1768478152.559,0.0002,Y
72960,2.114331,1768478161.469,0.0002,Y
73600,2.111427,1768478170.408,0.0002,Y
74240,2.004457,1768478179.236,0.0002,Y
74880,2.126807,1768478188.035,0.0002,Y
75520,2.195048,1768478197.008,0.0002,Y
76160,2.084178,1768478205.923,0.0002,Y
76800,2.120702,1768478214.813,0.0002,Y
77440,2.086714,1768478223.611,0.0002,Y
78080,2.144498,1768478232.404,0.0002,Y
78720,2.147434,1768478241.208,0.0002,Y
79360,2.143599,1768478250.070,0.0002,Y
80000,2.092966,1768478258.953,0.0002,Y
80640,2.121433,1768478267.986,0.0002,Y
81280,2.063607,1768478276.938,0.0002,Y
81920,2.058994,1768478285.747,0.0002,Y
82560,2.081974,1768478294.620,0.0002,Y
83200,2.123516,1768478303.377,0.0002,Y
83840,2.084409,1768478312.267,0.0002,Y
84480,2.065003,1768478321.178,0.0002,Y
85120,2.002027,1768478330.202,0.0002,Y
85760,2.016286,1768478339.040,0.0002,Y
86400,2.018352,1768478347.937,0.0002,Y
87040,2.076008,1768478356.804,0.0002,Y
87680,2.066831,1768478365.615,0.0002,Y
88320,2.089322,1768478374.629,0.0002,Y
88960,2.078986,1768478383.668,0.0002,Y
89600,2.041230,1768478392.861,0.0002,Y
90240,1.967229,1768478401.951,0.0002,Y
90880,2.009228,1768478410.943,0.0002,Y
91520,2.042483,1768478419.807,0.0002,Y
92160,1.947722,1768478428.651,0.0002,Y
92800,2.000374,1768478437.510,0.0002,Y
93440,1.991039,1768478446.435,0.0002,Y
94080,2.003848,1768478455.515,0.0002,Y
94720,1.945709,1768478464.511,0.0002,Y
95360,2.021220,1768478473.305,0.0002,Y
96000,1.988990,1768478482.198,0.0002,Y
96640,2.024926,1768478491.045,0.0002,Y
97280,1.953220,1768478499.856,0.0002,Y
97920,1.982885,1768478508.784,0.0002,Y
98560,2.022487,1768478517.760,0.0002,Y
99200,2.059465,1768478526.699,0.0002,Y
99840,2.016907,1768478535.498,0.0002,Y
100480,1.961081,1768478544.289,0.0002,Y
101120,2.030922,1768478553.155,0.0002,Y
101760,1.964330,1768478562.035,0.0002,Y
102400,2.035670,1768478570.940,0.0002,Y
103040,1.814792,1768478579.973,0.0002,Y
103680,1.994725,1768478588.923,0.0002,Y
104320,1.960863,1768478597.836,0.0002,Y
104960,1.917755,1768478606.721,0.0002,Y
105600,1.971316,1768478615.570,0.0002,Y
106240,1.990411,1768478624.413,0.0002,Y
106880,2.031451,1768478633.211,0.0002,Y
107520,1.945741,1768478641.960,0.0002,Y
108160,2.058585,1768478650.866,0.0002,Y
108800,1.964855,1768478659.595,0.0002,Y
109440,1.932729,1768478668.464,0.0002,Y
110080,1.984125,1768478677.345,0.0002,Y
110720,1.917930,1768478686.366,0.0002,Y
111360,1.929158,1768478695.330,0.0002,Y
112000,1.944117,1768478704.280,0.0002,Y
112640,1.996551,1768478713.366,0.0002,Y
113280,1.855811,1768478722.312,0.0002,Y
113920,1.873126,1768478731.260,0.0002,Y
114560,1.925127,1768478740.177,0.0002,Y
115200,1.920740,1768478749.173,0.0002,Y
115840,1.931664,1768478758.058,0.0002,Y
116480,1.926654,1768478766.917,0.0002,Y
117120,2.008195,1768478775.854,0.0002,Y
117760,1.936460,1768478784.895,0.0002,Y
118400,1.961707,1768478793.797,0.0002,Y
119040,1.890641,1768478802.701,0.0002,Y
119680,1.919456,1768478811.493,0.0002,Y
120320,1.987208,1768478820.412,0.0002,Y
120960,1.873137,1768478829.245,0.0002,Y
121600,1.872557,1768478838.239,0.0002,Y
122240,1.898560,1768478847.100,0.0002,Y
122880,1.909060,1768478856.016,0.0002,Y
123520,1.909622,1768478864.803,0.0002,Y
124160,1.889762,1768478873.550,0.0002,Y
124800,1.870575,1768478882.268,0.0002,Y
125440,1.882392,1768478891.071,0.0002,Y
126080,1.900118,1768478900.008,0.0002,Y
126720,1.959513,1768478908.881,0.0002,Y
127360,1.875712,1768478917.641,0.0002,Y
128000,1.905626,1768478926.453,0.0002,Y
128640,1.941872,1768478935.113,0.0002,Y
129280,1.865793,1768478943.939,0.0002,Y
129920,1.816013,1768478952.742,0.0002,Y
130560,1.824256,1768478961.662,0.0002,Y
131200,1.850504,1768478970.610,0.0002,Y
131840,1.854754,1768478979.451,0.0002,Y
