index,selfies,smiles,SA,pred_mu,pred_gap,pred_cv,pred_TPSA,TPSA_rdkit,vgae_score,reward,img_page,img_tile
1544,[C][C][Branch1][C][C][Branch1][C][NH3+1][C][C][=Branch1][C][=O][O-1],CC(C)([NH3+])CC(=O)[O-],1.5444996950521224,16.461313247680664,0.1321888417005539,36.87152099609375,69.07743072509766,67.77,,2.86968676487426,mols/page_0078.png,4
3862,[N][C][=NH1+1][C][C][N][=N][N-1][N][=Ring1][Branch1],NC=[NH+]Cc1nn[n-]n1,1.341790468830701,15.992110252380373,0.1555709093809127,28.92556381225586,89.4061050415039,92.76,,2.5166980356319324,mols/page_0194.png,2
4389,[N][#C][C][C][C][Branch1][C][O][C][C][O][Branch1][C][C][Ring1][Ring1][C][C][N][C],CNCCCCOCCC(O)CCC#N,2.256601054988479,4.7047438621521,0.3054316341876983,50.628231048583984,77.67363739013672,65.28,,2.1617302911574323,mols/page_0220.png,9
347,[F][#C][#C][N-1][=N][=C][=C][NH1+1][#C][C-1][CH1-1][=NH2+1][NH3+1][=Ring1][#Branch1][N-1][N+1][=C][=Branch2][N-1],[NH3+][NH2+][CH-][C-]C=[NH+]C=C=N[N-]C#CF,1.636437499842364,12.895195960998535,0.1107718497514724,38.12720489501953,85.63044738769531,84.68,,2.074092193240137,mols/page_0018.png,7
110,[N][C][=C][C][C][C][O][C][C][Ring1][C][C][N][Ring1][Branch1][C][O][N][C][C],CCNOCNCC=COCCCC=CN,1.777308431519336,4.162894248962402,0.2598185539245605,53.12102508544922,72.32442474365234,68.53999999999999,,1.8780656084896528,mols/page_0006.png,10
3473,[N][#C][C][=Branch1][C][=O][N-1][C][C][NH2+1][C][Ring1][Ring2],N#CC(=O)[N-]C1C[NH2+]C1,1.4817904688307009,11.95737361907959,0.1924986839294433,29.953649520874023,65.59040832519531,71.57,,1.7782562745646506,mols/page_0174.png,13
2632,[N][#C][C][Branch1][Ring1][C][C][C][Branch1][C][C][O][C][Branch1][Ring2][C][C][N][C][Branch1],CCC(C#N)C(C)OC(C)CCN,3.196437499842364,4.307353019714356,0.2998676598072052,45.58156204223633,61.3453483581543,59.03999999999999,,1.6482949206054935,mols/page_0132.png,12
3007,[N][#C][C][Branch1][C][C][C][Branch1][Branch1][C][O][C][C][O],CCOCC(O)C(C)C#N,2.5796683620478214,5.488070964813232,0.3097201585769653,38.07695007324219,53.195194244384766,53.25,,1.4803369864219436,mols/page_0151.png,7
4460,[N][#C][C][C][C][Branch1][C][C][O][C][C][Ring1][Branch1][C][Branch1][Ring1][C][C][N][C],CCC(NC)C1COC1(C)CCC#N,3.17630396797254,4.3863630294799805,0.2929701805114746,45.03598403930664,38.15310287475586,45.05,,1.4800781672597154,mols/page_0224.png,0
4284,[N][#C][C][C][C][Branch1][C][C][Ring1][Branch1][C][Branch1][Ring1][C][Branch1][N][C][C],CCCCC(C)CCC#N,2.125492362047822,4.287059783935547,0.3511775434017181,40.49581146240234,23.959453582763672,23.79,,1.4786403343448191,mols/page_0215.png,4
2927,[N][#C][C][C][C][Ring1][Branch1][C][Branch1][C][C][Branch1][Ring1][C][Branch1][Ring2][C][Branch1][Branch1][C],CCCC(C)CCCC#N,2.125492362047822,4.315990924835205,0.3500026762485504,40.49080276489258,23.5124626159668,23.79,,1.4754273772128377,mols/page_0147.png,7
4208,[N][#C][C-1][Branch1][Ring1][C][#N][C][NH1+1][=C][N],N#C[C-](C#N)C[NH+]=CN,1.541790468830701,10.997635841369627,0.1323257386684417,33.26519012451172,83.96695709228516,87.57,,1.4691619764564334,mols/page_0211.png,8
2107,[N][#C][C][Branch1][C][C][C][Branch1][Ring1][C][C][Ring1][Branch1][C][Branch1][Ring2][C][C][O],CCC(CCCO)C(C)C#N,2.6380915038517307,4.465528964996338,0.3158546090126037,41.4857292175293,46.704811096191406,44.02,,1.4644331369483303,mols/page_0106.png,7
3759,[N][#C][C][C][C][Ring1][Branch1][C][C][Branch1][Ring1][C][Branch1][C][O][C][C][O],N#CCCCCC(CO)CCO,2.157024615544936,4.379288673400879,0.3058134019374847,40.75965118408203,67.49738311767578,64.25,,1.4345053893829685,mols/page_0188.png,19
4183,[N][#C][C][C][C][Branch1][C][C][Ring1][Branch1][C][Branch1][Ring1][C][C],CCCC(C)CCC#N,2.101790468830701,4.344113349914551,0.3489778637886047,39.77588272094727,23.982872009277344,23.79,,1.4336076957060686,mols/page_0210.png,3
3260,[N][#C][C][Branch1][C][C][C][Branch1][Branch1][C][Branch1][Ring1][C][O][C][Branch1][=Branch1][C][O],CC(C#N)C(CCO)CCO,2.118091503851731,4.345288276672363,0.3103911578655243,40.41199493408203,66.31535339355469,64.25,,1.4286719682240396,mols/page_0164.png,0
4192,[C][C][C][Branch1][C][O][C][Branch1][Branch1][C][C][O][Branch1][C][N][C][Branch1][Ring1][C][O],CCC(O)C(CCO)CNCCO,2.6764374998423635,1.8133835792541504,0.3327120542526245,46.49874496459961,79.80020904541016,72.72,,1.4285901972292958,mols/page_0210.png,12
4051,[N][#C][C][C][C][Branch1][C][C][Ring1][Ring2][C][C][O],CC(CCO)CCC#N,2.081790468830701,5.2274932861328125,0.3118749558925628,38.54878616333008,44.06948471069336,44.02,,1.4204283163490816,mols/page_0203.png,11
3549,[N][#C][C][C][C][Branch1][Ring1][C][C][Ring1][Branch1][C][C],CCC(CC)CCC#N,1.601790468830701,4.229750156402588,0.3490049242973327,39.860618591308594,23.89535140991211,23.79,,1.4124262706604014,mols/page_0178.png,9
3637,[N][#C][C][Branch1][C][C][C][Ring1][Branch1][C][Branch1][Ring1][C][Branch1][O][C][C][Branch1][Branch1][C],CCCCCCC(C)C#N,2.125492362047822,4.133048057556152,0.3465803265571594,40.49438095092773,23.243371963500977,23.79,,1.4109355767572107,mols/page_0182.png,17
3394,[N][#C][C][Branch1][C][C][Branch1][Ring1][C][C][C][Ring1][Branch1][C][Ring1][=Branch1][C],CCCC(C)(C#N)CC,2.101790468830701,3.962166786193848,0.3496662676334381,40.73627471923828,23.928136825561523,23.79,,1.4094466119725018,mols/page_0170.png,14
4298,[N][#C][C][Branch1][C][C][C][Branch1][Ring1][C][Branch1][O][C][Branch1][Branch1][C][Branch1][Ring2][C][Branch1],CCCCCC(C)C#N,2.101790468830701,4.250592708587647,0.3473516702651977,39.88376235961914,23.854867935180664,23.79,,1.407989163212395,mols/page_0215.png,18
3272,[N][#C][C][C][C][Branch1][Ring1][C][C][Ring1][Branch1][C][Branch1][C][C][O],CCC(CCC#N)C(C)O,2.5996683620478214,4.726548194885254,0.3134702742099762,39.95620346069336,44.19058227539063,44.02,,1.403115070912938,mols/page_0164.png,12
