step,avg_reward,avg_len,time,lr
740,-0.766337,9.635,1771228963.175,2e-05
1480,-33.157589,9.581,1771229242.986,2e-05
2220,-41.593697,10.905,1771229528.602,2e-05
2960,-14.324574,10.149,1771229814.965,2e-05
3700,-35.920967,9.500,1771230103.146,2e-05
4440,-34.400501,10.405,1771230392.808,2e-05
5180,-15.756124,10.865,1771230682.517,2e-05
5920,-25.155201,10.108,1771230970.211,2e-05
6660,-24.030819,9.068,1771231257.586,2e-05
7400,-24.382643,9.378,1771231545.242,2e-05
8140,-11.085662,9.946,1771231834.283,2e-05
8880,-12.602970,10.135,1771232124.451,2e-05
9620,-10.500807,8.230,1771232414.853,2e-05
10360,-19.226740,8.986,1771232705.179,2e-05
11100,-24.072197,8.757,1771232997.327,2e-05
11840,-31.280687,9.014,1771233288.842,2e-05
12580,-6.788653,9.351,1771233581.113,2e-05
13320,-9.145671,8.757,1771233873.775,2e-05
14060,-8.582703,7.892,1771234164.878,2e-05
14800,-8.609519,7.892,1771234453.653,2e-05
15540,-37.934826,8.095,1771234744.134,2e-05
16280,-16.033644,7.838,1771235036.108,2e-05
17020,-5.774211,8.243,1771235330.324,2e-05
17760,-5.648852,7.284,1771235625.518,2e-05
18500,-5.801820,7.486,1771235923.524,2e-05
19240,-20.770369,7.486,1771236223.001,2e-05
19980,-5.749506,7.811,1771236521.709,2e-05
20720,-12.326079,7.149,1771236822.059,2e-05
21460,-11.364187,7.527,1771237122.135,2e-05
22200,-6.455913,7.581,1771237421.300,2e-05
22940,-4.777013,7.095,1771237718.516,2e-05
23680,-9.638222,7.716,1771238015.737,2e-05
24420,-4.025513,7.662,1771238314.171,2e-05
25160,-13.778358,7.297,1771238609.644,2e-05
25900,-6.172953,6.811,1771238907.372,2e-05
26640,-4.461174,7.014,1771239208.214,2e-05
27380,-7.642801,6.865,1771239508.500,2e-05
28120,-21.581356,7.230,1771239807.125,2e-05
28860,-6.287036,7.216,1771240107.408,2e-05
29600,-16.287256,7.568,1771240406.664,2e-05
30340,-5.614547,7.257,1771240708.112,2e-05
31080,-4.847689,6.797,1771241010.377,2e-05
31820,-6.894022,7.189,1771241311.362,2e-05
32560,-4.000607,7.176,1771241612.624,2e-05
33300,-4.435527,7.378,1771241913.891,2e-05
34040,-3.911567,7.797,1771242210.227,2e-05
34780,-3.165266,7.541,1771242507.517,2e-05
35520,-7.150120,7.500,1771242804.893,2e-05
36260,-3.065164,8.284,1771243101.767,2e-05
37000,-3.398461,7.743,1771243398.039,2e-05
37740,-10.818290,7.622,1771243696.014,2e-05
38480,-12.004484,8.432,1771243995.026,2e-05
39220,-6.421913,8.946,1771244294.712,2e-05
39960,-2.694048,8.257,1771244594.948,2e-05
40700,-2.691459,8.811,1771244895.023,2e-05
41440,-5.874192,9.135,1771245195.627,2e-05
42180,-2.493621,8.919,1771245496.390,2e-05
42920,-4.920737,8.770,1771245798.319,2e-05
43660,-3.030235,9.189,1771246101.261,2e-05
44400,-2.669869,8.865,1771246403.437,2e-05
45140,-3.490700,8.959,1771246704.563,2e-05
45880,-2.901764,8.730,1771247005.864,2e-05
46620,-3.213806,8.959,1771247308.303,2e-05
47360,-2.523361,8.811,1771247610.951,2e-05
