epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
1,3.291868,0.949708,177.129520,0.294570,0.148173,0.0000
2,2.414793,0.735392,242.761700,0.099701,0.108917,0.0000
3,2.331243,0.714965,264.368876,0.083891,0.102458,0.0000
4,2.276378,0.700464,275.116023,0.075545,0.099440,0.0000
5,2.236170,0.689612,280.212298,0.069940,0.097392,0.0000
6,2.206443,0.681420,283.166941,0.066424,0.095759,0.0000
7,2.180789,0.674315,284.423225,0.062862,0.094982,0.0000
8,2.159176,0.668044,284.985328,0.060708,0.094336,0.0000
9,2.137867,0.661888,285.507746,0.058532,0.093670,0.0000
10,2.117014,0.655808,285.662257,0.056694,0.092896,0.0000
11,2.097975,0.650045,285.866595,0.055363,0.092476,0.0000
12,2.081184,0.645115,286.331418,0.054191,0.091648,0.0000
13,2.067568,0.641139,286.952188,0.053065,0.091086,0.0000
14,2.053680,0.636938,287.512252,0.052224,0.090641,0.0000
15,2.041399,0.633216,287.990878,0.051583,0.090169,0.0000
16,2.031866,0.630339,288.254883,0.050906,0.089942,0.0000
17,2.021293,0.626942,288.373345,0.050730,0.089737,0.0000
18,2.010918,0.623875,288.686255,0.050219,0.089074,0.0000
19,2.003330,0.621242,288.849182,0.050097,0.089506,0.0000
20,1.992812,0.618049,289.034655,0.049368,0.089296,0.0000
21,1.985311,0.615723,289.404586,0.049069,0.089073,0.0000
22,1.977673,0.613240,289.619590,0.049050,0.088901,0.0000
23,1.971355,0.611427,289.837376,0.048683,0.088390,0.0000
24,1.962933,0.608922,290.088457,0.048166,0.088001,0.0000
25,1.957747,0.607087,290.277023,0.048263,0.088222,0.0000
26,1.951466,0.605126,290.463367,0.048060,0.088028,0.0000
27,1.946148,0.603491,290.674300,0.047888,0.087787,0.0000
28,1.940039,0.601672,290.878582,0.047297,0.087728,0.0000
29,1.936474,0.600464,291.001588,0.047390,0.087691,0.0000
30,1.932055,0.599173,291.185765,0.047014,0.087524,0.0000
31,1.928269,0.598043,291.349847,0.046533,0.087606,0.0000
32,1.923134,0.596529,291.507282,0.046551,0.086995,0.0000
33,1.920465,0.595716,291.672191,0.046272,0.087044,0.0000
34,1.915714,0.594209,291.780621,0.046124,0.086962,0.0000
35,1.911606,0.592826,291.910714,0.046242,0.086885,0.0000
36,1.907993,0.591767,292.055792,0.045975,0.086718,0.0000
37,1.905475,0.590923,292.155095,0.045641,0.087064,0.0000
38,1.902853,0.590046,292.226407,0.045659,0.087057,0.0000
39,1.898489,0.588834,292.415536,0.045530,0.086457,0.0000
40,1.896929,0.588347,292.466405,0.045399,0.086491,0.0000
41,1.894415,0.587530,292.509480,0.045376,0.086450,0.0000
42,1.889699,0.585968,292.682106,0.045579,0.086217,0.0000
43,1.887863,0.585566,292.782560,0.045131,0.086033,0.0000
44,1.884621,0.584287,292.910931,0.045298,0.086461,0.0000
45,1.883570,0.584059,292.985369,0.045100,0.086294,0.0000
46,1.880151,0.583026,293.071930,0.044666,0.086408,0.0000
47,1.876582,0.581972,293.179425,0.044504,0.086162,0.0000
48,1.874761,0.581398,293.240431,0.044548,0.086019,0.0000
49,1.873924,0.581039,293.360837,0.044653,0.086155,0.0000
50,1.871283,0.580095,293.471586,0.044650,0.086348,0.0000
51,2.796449,0.628004,137.121297,0.068543,0.112581,0.0053
52,3.067987,0.663894,80.258248,0.078993,0.141222,0.0107
53,3.343786,0.702375,63.542677,0.081072,0.138906,0.0160
54,3.585639,0.740809,54.162808,0.081167,0.126573,0.0213
55,3.812454,0.776669,47.988846,0.081832,0.120912,0.0267
56,4.019248,0.806627,43.680558,0.081896,0.119694,0.0320
57,4.215652,0.835551,40.336989,0.082280,0.120805,0.0373
58,4.399157,0.863035,37.629968,0.082394,0.122111,0.0427
59,4.572305,0.888915,35.391839,0.083111,0.123641,0.0480
60,4.738853,0.914197,33.512651,0.084426,0.124494,0.0533
61,4.902641,0.939917,31.907050,0.085559,0.125452,0.0587
62,5.051469,0.964013,30.413027,0.086773,0.126222,0.0640
63,5.199064,0.988748,29.101747,0.088375,0.126723,0.0693
64,5.337367,1.011081,27.946556,0.089374,0.128074,0.0747
65,5.472228,1.034822,26.854682,0.090821,0.128567,0.0800
66,5.608900,1.058175,25.923301,0.092922,0.129332,0.0853
67,5.727136,1.079391,24.987430,0.093970,0.129468,0.0907
68,5.855364,1.102631,24.181170,0.095724,0.130356,0.0960
69,5.971834,1.124230,23.399287,0.096732,0.131285,0.1013
70,6.097167,1.147234,22.728213,0.099378,0.131743,0.1067
