step,avg_reward,avg_len,time,lr
740,-27.281258,27.919,1771242246.568,2e-05
1480,-16.979734,28.297,1771242547.939,2e-05
2220,-3.233978,26.730,1771242853.577,2e-05
2960,-3.676475,24.784,1771243162.168,2e-05
3700,-3.333514,27.311,1771243472.555,2e-05
4440,-4.896308,26.108,1771243783.963,2e-05
5180,-3.493653,26.878,1771244097.968,2e-05
5920,-17.422459,23.405,1771244409.274,2e-05
6660,-4.389400,28.649,1771244721.645,2e-05
7400,-3.165893,25.622,1771245033.056,2e-05
8140,-29.557156,27.122,1771245348.573,2e-05
8880,-29.661291,26.811,1771245662.636,2e-05
9620,-4.214720,23.149,1771245981.258,2e-05
10360,-16.326836,24.324,1771246300.055,2e-05
11100,-2.245893,23.405,1771246616.538,2e-05
11840,-3.678068,21.122,1771246932.084,2e-05
12580,-3.888527,23.689,1771247250.270,2e-05
13320,-4.113859,27.297,1771247569.764,2e-05
14060,-16.524309,23.797,1771247887.925,2e-05
14800,-2.290444,18.554,1771248203.606,2e-05
15540,-3.613121,24.851,1771248518.627,2e-05
16280,-4.209390,21.514,1771248834.797,2e-05
17020,-3.131125,22.581,1771249151.306,2e-05
17760,-4.987802,22.216,1771249471.219,2e-05
18500,-5.735625,22.649,1771249792.711,2e-05
19240,-5.281362,21.568,1771250113.365,2e-05
19980,-4.871678,22.986,1771250433.345,2e-05
20720,-18.892599,21.554,1771250753.640,2e-05
21460,-16.695042,23.770,1771251072.385,2e-05
22200,-3.369142,21.878,1771251391.078,2e-05
22940,-5.846002,18.919,1771251711.560,2e-05
23680,-4.577049,24.865,1771252036.409,2e-05
24420,-17.724979,24.608,1771252360.728,2e-05
25160,-17.693478,25.932,1771252684.703,2e-05
25900,-2.943667,20.892,1771253009.165,2e-05
26640,-3.160962,24.324,1771253336.608,2e-05
27380,-3.255562,22.203,1771253661.746,2e-05
28120,-6.191963,26.324,1771253991.560,2e-05
28860,-3.206834,21.405,1771254319.325,2e-05
29600,-18.710669,20.581,1771254648.332,2e-05
30340,-17.076645,23.486,1771254975.736,2e-05
31080,-29.424162,24.892,1771255308.519,2e-05
31820,-2.446514,24.730,1771255641.413,2e-05
32560,-2.315836,25.676,1771255977.006,2e-05
33300,-2.379380,26.203,1771256312.102,2e-05
34040,-3.546478,25.581,1771256645.814,2e-05
34780,-2.908121,26.703,1771256982.801,2e-05
35520,-3.230414,23.932,1771257318.612,2e-05
36260,-3.222262,28.054,1771257653.382,2e-05
37000,-1.374305,23.608,1771257990.373,2e-05
37740,-16.604055,24.108,1771258327.606,2e-05
38480,-1.938271,28.149,1771258671.307,2e-05
39220,-17.275326,30.122,1771259012.478,2e-05
39960,-2.377937,26.851,1771259354.809,2e-05
40700,-4.467382,28.649,1771259695.683,2e-05
41440,-1.562537,26.797,1771260036.074,2e-05
42180,-1.636245,27.662,1771260380.608,2e-05
42920,-2.236012,29.149,1771260726.377,2e-05
43660,-1.103699,28.378,1771261070.740,2e-05
44400,-2.816448,30.027,1771261415.752,2e-05
45140,-0.872518,26.959,1771261760.030,2e-05
45880,-3.024438,28.568,1771262106.362,2e-05
46620,-1.749253,28.527,1771262452.726,2e-05
47360,-2.035873,27.730,1771262798.616,2e-05
48100,-15.764677,26.986,1771263146.416,2e-05
48840,-1.011485,29.892,1771263492.499,2e-05
49580,-1.132869,27.486,1771263837.906,2e-05
50320,-2.188739,27.595,1771264182.914,2e-05
51060,-1.999333,27.770,1771264527.454,2e-05
51800,-1.169039,27.757,1771264873.240,2e-05
52540,-2.258192,28.270,1771265220.330,2e-05
53280,-2.035366,29.270,1771265569.373,2e-05
54020,-1.713539,29.041,1771265917.373,2e-05
54760,-2.006188,27.203,1771266265.310,2e-05
55500,-0.917753,28.324,1771266612.348,2e-05
56240,-7.092594,26.703,1771266959.863,2e-05
56980,-2.063993,26.541,1771267306.562,2e-05
57720,-1.466348,27.784,1771267652.256,2e-05
58460,-2.625994,27.068,1771268001.516,2e-05
59200,-1.084994,27.649,1771268350.450,2e-05
59940,-2.334915,29.338,1771268698.454,2e-05
60680,-1.744485,27.581,1771269046.080,2e-05
61420,-1.219118,29.568,1771269394.573,2e-05
62160,-1.935987,27.851,1771269744.464,2e-05
62900,-1.252661,27.392,1771270097.023,2e-05
63640,-0.872374,28.054,1771270450.206,2e-05
64380,-14.486633,32.581,1771270806.132,2e-05
65120,-0.883335,30.986,1771271161.288,2e-05
65860,-0.795677,30.432,1771271513.599,2e-05
66600,-0.871984,30.405,1771271872.472,2e-05
