epoch,loss,recon,kl,atom_ce,prop_mse,kl_w
1,4.254622,1.178538,142.736446,0.530182,0.188828,0.0000
2,3.002087,0.919992,210.538497,0.111619,0.130492,0.0000
3,2.882377,0.899219,240.669795,0.069507,0.115214,0.0000
4,2.833950,0.889947,257.378555,0.054769,0.109339,0.0000
5,2.806010,0.884190,268.409948,0.047180,0.106261,0.0000
6,2.787979,0.880174,275.243329,0.042740,0.104717,0.0000
7,2.771309,0.876976,279.455514,0.039321,0.101059,0.0000
8,2.760613,0.874253,282.903629,0.037492,0.100364,0.0000
9,2.753032,0.872140,284.740104,0.035927,0.100684,0.0000
10,2.744019,0.870421,286.150618,0.034508,0.098247,0.0000
11,2.737830,0.868732,287.066213,0.033667,0.097967,0.0000
12,2.730210,0.866995,287.662842,0.032130,0.097094,0.0000
13,2.723847,0.865610,288.313090,0.031250,0.095768,0.0000
14,2.718104,0.863968,288.624156,0.030941,0.095259,0.0000
15,2.714079,0.863192,288.712480,0.029950,0.094554,0.0000
16,2.709653,0.862032,288.914781,0.029247,0.094311,0.0000
17,2.707966,0.861240,289.079750,0.029320,0.094924,0.0000
18,2.703072,0.860169,289.167313,0.028813,0.093752,0.0000
19,2.699770,0.859480,289.147513,0.028470,0.092859,0.0000
20,2.695298,0.857788,289.250063,0.028117,0.093815,0.0000
21,2.691587,0.857263,289.320232,0.027203,0.092595,0.0000
22,2.688055,0.856266,289.335953,0.027075,0.092183,0.0000
23,2.684626,0.855458,289.288970,0.026722,0.091531,0.0000
24,2.681905,0.854730,289.218502,0.026456,0.091259,0.0000
25,2.680888,0.854439,289.255880,0.026193,0.091376,0.0000
26,2.676293,0.853217,289.292444,0.026011,0.090632,0.0000
27,2.674662,0.852660,289.254014,0.025566,0.091117,0.0000
28,2.671302,0.851965,289.215803,0.025521,0.089885,0.0000
29,2.669867,0.851594,289.215196,0.025108,0.089979,0.0000
30,2.666063,0.850646,289.223347,0.024902,0.089223,0.0000
31,2.665585,0.850342,289.233830,0.024740,0.089820,0.0000
32,2.661862,0.849604,289.187758,0.024197,0.088854,0.0000
33,2.659890,0.848956,289.198810,0.024293,0.088730,0.0000
