sample_step,avg_loss,time,lr,cond
640,4.952785,1768477586.964,0.0002,Y
1280,4.941591,1768477608.986,0.0002,Y
1920,4.931289,1768477631.842,0.0002,Y
2560,4.920757,1768477654.175,0.0002,Y
3200,4.910273,1768477676.938,0.0002,Y
3840,4.901481,1768477698.956,0.0002,Y
4480,4.889240,1768477721.070,0.0002,Y
5120,4.877467,1768477743.735,0.0002,Y
5760,4.866618,1768477766.618,0.0002,Y
6400,4.859760,1768477789.194,0.0002,Y
7040,4.850344,1768477811.718,0.0002,Y
7680,4.829933,1768477834.582,0.0002,Y
8320,4.819190,1768477857.487,0.0002,Y
8960,4.806503,1768477879.978,0.0002,Y
9600,4.786992,1768477902.430,0.0002,Y
10240,4.787022,1768477925.007,0.0002,Y
10880,4.767265,1768477947.223,0.0002,Y
11520,4.752453,1768477969.122,0.0002,Y
12160,4.731006,1768477991.178,0.0002,Y
12800,4.736649,1768478013.137,0.0002,Y
13440,4.719628,1768478035.194,0.0002,Y
14080,4.702379,1768478057.739,0.0002,Y
14720,4.680211,1768478080.549,0.0002,Y
15360,4.678322,1768478103.100,0.0002,Y
16000,4.664695,1768478125.910,0.0002,Y
16640,4.654636,1768478148.532,0.0002,Y
17280,4.620777,1768478171.128,0.0002,Y
17920,4.613022,1768478193.494,0.0002,Y
18560,4.587817,1768478216.306,0.0002,Y
19200,4.555294,1768478239.547,0.0002,Y
19840,4.561788,1768478261.624,0.0002,Y
20480,4.538525,1768478284.647,0.0002,Y
21120,4.504632,1768478307.868,0.0002,Y
21760,4.511514,1768478330.797,0.0002,Y
22400,4.484738,1768478353.552,0.0002,Y
23040,4.451795,1768478375.547,0.0002,Y
23680,4.435892,1768478398.246,0.0002,Y
24320,4.412418,1768478420.607,0.0002,Y
24960,4.402697,1768478442.846,0.0002,Y
25600,4.406932,1768478465.294,0.0002,Y
26240,4.349668,1768478486.991,0.0002,Y
26880,4.340883,1768478509.079,0.0002,Y
27520,4.326844,1768478531.801,0.0002,Y
28160,4.264943,1768478554.039,0.0002,Y
28800,4.240093,1768478576.388,0.0002,Y
29440,4.221447,1768478599.175,0.0002,Y
30080,4.222121,1768478621.492,0.0002,Y
30720,4.197905,1768478643.677,0.0002,Y
31360,4.177562,1768478666.116,0.0002,Y
32000,4.111823,1768478688.850,0.0002,Y
32640,4.131188,1768478711.963,0.0002,Y
33280,4.118278,1768478734.560,0.0002,Y
33920,4.068900,1768478756.860,0.0002,Y
34560,4.064719,1768478779.765,0.0002,Y
35200,4.001773,1768478801.745,0.0002,Y
35840,3.996688,1768478823.813,0.0002,Y
36480,3.938160,1768478846.624,0.0002,Y
37120,3.921822,1768478868.662,0.0002,Y
37760,3.892893,1768478891.259,0.0002,Y
38400,3.864397,1768478913.402,0.0002,Y
39040,3.863557,1768478935.549,0.0002,Y
39680,3.782321,1768478957.667,0.0002,Y
40320,3.796314,1768478980.777,0.0002,Y
40960,3.798830,1768479002.356,0.0002,Y
41600,3.772585,1768479024.187,0.0002,Y
42240,3.716066,1768479047.013,0.0002,Y
42880,3.662334,1768479069.674,0.0002,Y
43520,3.613267,1768479091.390,0.0002,Y
44160,3.644304,1768479114.134,0.0002,Y
44800,3.648049,1768479136.626,0.0002,Y
45440,3.567882,1768479158.884,0.0002,Y
46080,3.607237,1768479181.431,0.0002,Y
46720,3.546217,1768479203.654,0.0002,Y
47360,3.512212,1768479226.448,0.0002,Y
48000,3.498262,1768479248.621,0.0002,Y
48640,3.440942,1768479270.426,0.0002,Y
49280,3.423558,1768479292.808,0.0002,Y
49920,3.391608,1768479315.670,0.0002,Y
50560,3.361721,1768479338.156,0.0002,Y
51200,3.377409,1768479360.167,0.0002,Y
51840,3.359836,1768479382.758,0.0002,Y
52480,3.332669,1768479405.058,0.0002,Y
53120,3.261264,1768479427.379,0.0002,Y
53760,3.320907,1768479448.806,0.0002,Y
54400,3.265069,1768479471.118,0.0002,Y
55040,3.287360,1768479493.762,0.0002,Y
55680,3.231699,1768479516.177,0.0002,Y
56320,3.206614,1768479538.442,0.0002,Y
56960,3.281935,1768479561.293,0.0002,Y
57600,3.196269,1768479583.801,0.0002,Y
58240,3.179414,1768479606.621,0.0002,Y
58880,3.198451,1768479628.714,0.0002,Y
59520,3.173536,1768479651.111,0.0002,Y
60160,3.109687,1768479673.352,0.0002,Y
60800,3.122095,1768479696.079,0.0002,Y
61440,3.101131,1768479718.179,0.0002,Y
