sample_step,avg_loss,time,lr,cond
640,3.498613,1762259452.312,0.0002,Y
1280,3.492112,1762259490.447,0.0002,Y
1920,3.485662,1762259528.074,0.0002,Y
2560,3.477552,1762259566.414,0.0002,Y
3200,3.466410,1762259604.173,0.0002,Y
3840,3.461403,1762259641.777,0.0002,Y
4480,3.454764,1762259679.179,0.0002,Y
5120,3.443336,1762259716.424,0.0002,Y
5760,3.435214,1762259754.904,0.0002,Y
6400,3.430968,1762259793.175,0.0002,Y
7040,3.425967,1762259832.051,0.0002,Y
7680,3.414514,1762259869.851,0.0002,Y
8320,3.405955,1762259908.146,0.0002,Y
8960,3.397808,1762259946.920,0.0002,Y
9600,3.386380,1762259985.154,0.0002,Y
10240,3.385369,1762260023.125,0.0002,Y
10880,3.374343,1762260060.919,0.0002,Y
11520,3.364839,1762260097.816,0.0002,Y
12160,3.359551,1762260135.181,0.0002,Y
12800,3.348439,1762260172.680,0.0002,Y
13440,3.351977,1762260209.978,0.0002,Y
14080,3.338686,1762260247.385,0.0002,Y
14720,3.319417,1762260284.988,0.0002,Y
15360,3.308280,1762260322.195,0.0002,Y
16000,3.307939,1762260359.749,0.0002,Y
16640,3.307241,1762260396.562,0.0002,Y
17280,3.290304,1762260433.952,0.0002,Y
17920,3.276564,1762260471.739,0.0002,Y
18560,3.269661,1762260508.205,0.0002,Y
19200,3.262264,1762260544.409,0.0002,Y
19840,3.247339,1762260580.637,0.0002,Y
20480,3.241657,1762260617.311,0.0002,Y
21120,3.223711,1762260653.927,0.0002,Y
21760,3.212342,1762260691.306,0.0002,Y
22400,3.206594,1762260728.595,0.0002,Y
23040,3.204222,1762260765.889,0.0002,Y
23680,3.200433,1762260802.855,0.0002,Y
24320,3.185224,1762260839.357,0.0002,Y
24960,3.197002,1762260876.001,0.0002,Y
25600,3.168233,1762260913.056,0.0002,Y
26240,3.136233,1762260950.114,0.0002,Y
26880,3.146754,1762260986.559,0.0002,Y
27520,3.122788,1762261023.208,0.0002,Y
28160,3.100175,1762261060.687,0.0002,Y
28800,3.111150,1762261097.750,0.0002,Y
29440,3.100770,1762261134.748,0.0002,Y
30080,3.081507,1762261171.767,0.0002,Y
30720,3.051525,1762261209.764,0.0002,Y
31360,3.041024,1762261246.162,0.0002,Y
32000,3.039909,1762261283.499,0.0002,Y
