index,selfies,smiles,SA,pred_D,pred_P,pred_EG,pred_r0,vgae_score,reward,img_page,img_tile,D_phys_km_s,P_phys_kbar,EG_phys_m_s,r0_phys_g_cm3
0,[=C][Branch1][Ring1][=Branch2][Cl][N+1][S][=Branch1][=Ring1][/N][Ring2][#Branch2][S][F][Ring1][#Branch1][Ring1][/N+1][Ring2][/N][#N][C@@H1][/C][/N][=Ring2],NS1(F)[N+]C1Cl,2.4118943340952077,1.2087483042923697,1.265645743882625,1.445339282318038,0.8416038648786905,,1.2808946114588329,mols/page_0001.png,0,8.557610511779785,329.14044189453125,7280.703125,1.8270971775054932
1,[N][N][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],Nn1nc([N+](=O)[O-])cc1[N+](=O)[O-],1.3770246155449355,0.8683984421048996,0.8485306351916668,0.96891691588588,0.7288139695840793,,0.8896804326369016,mols/page_0001.png,1,8.351033210754395,309.2146301269531,6761.20166015625,1.8161168098449707
2,[O][=N+1][Branch1][C][O-1][C][=N][C][=N][N][Branch2][Ring2][P][C],CNN=CN=C[N+](=O)[O-],1.501790468830701,-1.6205336604448686,-1.6898131823954825,-1.5099887588677885,-2.366065572199944,,-1.6681887714771977,mols/page_0001.png,2,6.840361595153809,187.9565887451172,4058.148193359375,1.5148228406906128
3,[O][=N+1][Branch1][C][O-1][C][N][C][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=CNC[N+](=O)[O-],1.4996683620478215,-0.3176496189330676,-0.5493890994011219,-0.3416761504310552,-1.292657449137777,,-0.4826958846697472,mols/page_0001.png,3,7.631154537200928,242.4352569580078,5332.10205078125,1.6193217039108276
4,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Branch2][Branch1][Ring2][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Branch2][Ring1][N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][N][N+1][=Branch1][C][=O][O-1][C][=C][Ring2][Ring1][Branch2][N+1][=Branch1][C][=O][O-1][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring2][Ring2][#Branch1],O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,2.326550083696136,-0.9115303691275896,-0.7566571615554245,-0.965791201320204,0.2191336861363391,,-0.7814499945852013,mols/page_0001.png,4,7.270695209503174,232.53395080566406,4651.55322265625,1.7664982080459595
5,[O][=N+1][Branch1][C][O-1][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=C[N+](=O)[O-],1.4844996950521223,1.159079774877526,1.0853206260745547,1.0881108342793635,0.4408048311302908,,1.0404249170627948,mols/page_0001.png,5,8.527463912963867,320.5262145996094,6891.17333984375,1.7880784273147583
6,[C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][S][N+1][=Branch1][C][=O][O-1],Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.6239038473124212,-0.1811581872329207,-0.1703898722263648,-0.1349296773260872,0.1799100847241473,,-0.1238678773228415,mols/page_0001.png,6,7.713998794555664,260.5402526855469,5557.54296875,1.7626796960830688
7,[O][=C][Branch2][Ring1][#Branch1][O][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][N],O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.8436858610047384,-0.2697880177655768,-0.2477574871863924,-0.4130638958763744,0.0886875374462985,,-0.2857431808439122,mols/page_0001.png,7,7.6602044105529785,256.8443603515625,5254.25927734375,1.7537989616394043
8,[O][=N+1][Branch1][C][O-1][=C][C][N][N][Branch2][Ring2][#Branch1][C][=N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])CCNNC=NC[N+](=O)[O-],1.576437499842364,-1.090418622478451,-1.3582245935541288,-0.8511405709628019,-2.2729180904372064,,-1.1799088414369865,mols/page_0001.png,8,7.162117958068848,203.7967529296875,4776.57080078125,1.5238909721374512
9,[O-1][N+1][O][N][=C][C][=Ring1][Branch1][C][=N][O][N+1][Branch1][C][O-1][=C][Ring1][=Branch1][C][=N][O][N+1][Branch1][C][O-1][=C][Ring1][=C][Ring1][=Branch1],[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21,1.1798833105991513,1.9072957660252925,2.387973495294396,2.416858693307403,3.08343497513819,,2.3489042901667023,mols/page_0001.png,9,8.981597900390625,382.754638671875,8340.0693359375,2.045344829559326
10,[/N][=C][\N+1][Branch1][Ring1][#C][N+1][#Branch1][=Branch1][P][=O][/C][=Ring2][N+1],[N+]C[N+](C=N)P=O,1.4878467081635287,-1.2817471840018475,-1.4444653330072683,-1.4382989783564002,-1.764543137880619,,-1.4333270343829008,mols/page_0001.png,10,7.045989990234375,199.67698669433594,4136.3203125,1.5733824968338013
11,[O][=N+1][Branch1][C][O-1][=C][Branch1][C][Cl][N][N][=C][Ring1][Branch1][C][=N][N][Branch1][=Branch1],NN=CC1=NNC1(Cl)[N+](=O)[O-],1.9580915038517317,-0.7197068663886137,-0.6143821250675231,-1.158341354633343,0.0416197055568808,,-0.7926968191616832,mols/page_0001.png,11,7.3871235847473145,239.33050537109375,4441.59228515625,1.7492167949676514
12,[O][C][Branch1][Branch2][N][C][=N][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=NN=CNCO,1.4996683620478215,-1.380070791771063,-1.3526798090739125,-1.3788475512522789,-1.4830312655698463,,-1.38302979726914,mols/page_0001.png,12,6.986311912536621,204.06163024902344,4201.1474609375,1.6007883548736572
13,[N][N][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],Nn1nc([N+](=O)[O-])cc1[N+](=O)[O-],1.3770246155449355,0.8683984421048996,0.8485306351916668,0.96891691588588,0.7288139695840793,,0.8896804326369016,mols/page_0001.png,13,8.351033210754395,309.2146301269531,6761.20166015625,1.8161168098449707
14,[N][=N][Branch1][P][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Branch1][C][=N][O],N=NP=C(C(N)O)[N+](=O)[O-],1.979668362047822,-0.4598273752655362,-0.4882843542507454,-0.8479952865979845,-0.2824035856545866,,-0.604466405583723,mols/page_0001.png,14,7.544858932495117,245.35426330566406,4780.00048828125,1.717672348022461
15,[C][N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=N][N][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],Cn1c([N+](=O)[O-])nnc1[N+](=O)[O-],1.3770246155449355,0.3445997967944455,0.2204441270998119,0.3388771415583915,0.0326685152995405,,0.280078689126875,mols/page_0001.png,15,8.033110618591309,279.2106018066406,6074.1923828125,1.7483453750610352
16,[C][=C][N][=N][N][Branch2][Ring1][#Branch1][C][O-1][=N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],C=CN=NNC[O-],1.5078467081635287,-2.694039159648908,-2.6853870775407165,-2.267307766863696,-3.5766767068577616,,-2.609447336728661,mols/page_0001.png,16,6.188791275024414,140.39749145507812,3232.350830078125,1.3969669342041016
17,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Branch2][Ring2][Branch2][N][C][=C][N][Branch2][Ring1][N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][N][N+1][=Branch1][C][=O][O-1][N][=N][Ring2][Ring1][Ring2][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring2][Ring1][P],O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1,1.9783993249990477,-0.7192339225603934,-0.6042942522952325,-0.7064395785390322,0.1738328265507986,,-0.5960745924744396,mols/page_0001.png,17,7.387410640716553,239.81240844726562,4934.35595703125,1.7620880603790283
18,[O][=N+1][Branch1][C][O-1][C][N][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N][Branch1][=Branch1][N+1][=Ring2][C][=O][O-1][=C][Branch1][=Branch1][N+1][=Branch2][C][=O][O-1],O=[N+]([O-])CN=CC=CC(N(C[N+][O-])[N+][O-])[N+](=O)[O-],2.219883310599152,-0.6138381547552345,-0.8771568050146198,-0.4342663545024763,-1.7685117846144136,,-0.7233064602048955,mols/page_0001.png,18,7.451381206512451,226.77761840820312,5231.1396484375,1.5729961395263672
19,[O][=N+1][Branch1][C][O-1][C][O][C][=N][N][=N][Ring1][Branch2][C][N][Ring1][N][C][=C][Branch1][C],N=NN=COC[N+](=O)[O-],1.481790468830701,-0.3809368879861118,-0.5054205140407475,-0.7240265721933892,-0.888803255376783,,-0.6000803049217488,mols/page_0001.png,19,7.592741966247559,244.53565979003906,4915.1787109375,1.6586378812789917
20,[O][=N+1][Branch1][C][O-1][C][N][C][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=CNC[N+](=O)[O-],1.4996683620478215,-0.3176496189330676,-0.5493890994011219,-0.3416761504310552,-1.292657449137777,,-0.4826958846697472,mols/page_0002.png,0,7.631154537200928,242.4352569580078,5332.10205078125,1.6193217039108276
21,[O][=N+1][Branch1][C][O-1][N][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Ring2][Ring1][C],O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.726423335035418,1.4244829670906631,1.3557012976135008,1.4723383961409735,0.6182833008318473,,1.3458097547156151,mols/page_0002.png,1,8.688551902770996,333.44244384765625,7310.1435546875,1.8053563833236694
22,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][C][=O][O-1][C][Branch1][=Branch1][C][=O],C[N+](O[O-])C(C=C[N+](=O)[O-])[N+](=O)[O-],2.076437499842364,-0.3379013564810073,-0.6188600520004197,-0.2382377602801827,-1.613119856454806,,-0.4957974418779104,mols/page_0002.png,2,7.618862628936768,239.11659240722656,5444.8935546875,1.5881239175796509
23,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=CC[N+](=O)[O-],1.501790468830701,-0.0644659753978981,-0.367497234206943,-0.1183609605290186,-1.277272667415038,,-0.2830624533543215,mols/page_0002.png,3,7.784825801849365,251.12432861328125,5575.60986328125,1.6208194494247437
24,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch2][=Branch1][C][=N][N][N][=N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N][Branch1][C][O][C][C][Branch1][=Branch1][N][N+1][=Branch1][C][O],O=[N+]([O-])C=CCNNN=NC(N(O)CCN[N+]O)[N+](=O)[O-],2.2864233350354186,-1.0270111534159088,-1.2329221746214307,-0.749162875230784,-2.0186148976774736,,-1.0665099718693958,mols/page_0002.png,4,7.200603485107422,209.7825164794922,4887.76953125,1.5486479997634888
25,[O-1][N+1][O][N][=C][C][=Ring1][Branch1][C][=N][O][N+1][Branch1][C][O-1][=C][Ring1][=Branch1][C][=N][O][N+1][Branch1][C][O-1][=C][Ring1][=C][Ring1][=Branch1],[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21,1.1798833105991513,1.9072957660252925,2.387973495294396,2.416858693307403,3.08343497513819,,2.3489042901667023,mols/page_0002.png,5,8.981597900390625,382.754638671875,8340.0693359375,2.045344829559326
26,[N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][O][=C][Ring1][=N][N+1][=Branch1][C][=O][O-1],Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],1.538407953408093,-0.4408569855312629,-0.243314376862076,-0.5576018923564093,0.7799949407449616,,-0.3160841034664023,mols/page_0002.png,6,7.556373119354248,257.0566101074219,5096.65185546875,1.8210994005203247
27,[C][N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][O][N+1][=Branch1][C][=O][O-1],Cn1c([N+](=O)[O-])nc([N+](=O)[O-])c1[N+](=O)[O-],1.456601054988479,0.6771688688246187,0.5972531021182902,0.6698148812219005,0.3108448141135969,,0.6176159266358471,mols/page_0002.png,7,8.234965324401855,297.2109680175781,6435.05419921875,1.7754265069961548
28,[O][=N+1][Branch1][C][O-1][O][C][C][O][C][O][C][C][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][O][C][Branch2][Ring1][Branch2][O][C][Ring1][#C][C][Branch1][#Branch1][O][N+1][=Branch1][C][=O][O-1][C][Ring2][Ring1][Ring1][O][N+1][=Branch1][C][=O][O-1][C][Branch1][#Branch1][O][N+1][=Branch1][C][=O][O-1][C][Ring2][Ring1][O][O][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])OCC1OC2OC3C(CO[N+](=O)[O-])OC(OC1C(O[N+](=O)[O-])C2O[N+](=O)[O-])C(O[N+](=O)[O-])C3O[N+](=O)[O-],9.18679060069302,0.3680144443962297,0.349489171745667,0.2768562893851751,0.183853016684289,,0.3085037214579731,mols/page_0002.png,8,8.047322273254395,285.3751525878906,6006.5634765625,1.7630635499954224
29,[O][=N+1][Branch1][C][O-1][C][=N][O][=N][Branch2][Ring1][Branch1][C][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],O=[N+]([O-])C=NONC=CC=NC[N+](=O)[O-],1.636601054988479,-1.212517477877944,-1.348814207266229,-1.017968710539631,-1.9140867918036932,,-1.238929084682265,mols/page_0002.png,9,7.088009357452393,204.2462921142578,4594.65771484375,1.558824062347412
30,[N][C][=N][O][N+1][Branch1][C][O-1][C][=N][NH1][Ring1][Branch2],NC1=NO[N+]([O-])C=NN1,1.421790468830701,1.132736332273076,1.0407598389498898,0.9721902684922036,0.5816421974022452,,0.9904143699428474,mols/page_0002.png,10,8.511474609375,318.39752197265625,6764.77099609375,1.8017892837524414
31,[C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][N][=C][Ring1][=C][N+1][=Branch1][C][=O][O-1],Cc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.5798833105991517,-1.2132488910076331,-1.0791158134880838,-0.9961747199309088,-0.5398047963830022,,-1.025541543734593,mols/page_0002.png,11,7.0875654220581055,217.1299285888672,4618.42236328125,1.6926137208938599
32,[=N+1][/N+1][Branch1][#N+1][/N][/N+1][=Branch1][#Branch2][C][N][O][N][O][N][=N][N][\N+1][Branch2][=C][Branch2][Ring1][N][P][N][S][Cl][/C][NH1],[N+]NN=NONONC[N+](CPNSCl)[N+]([N+])N,2.159883310599152,-0.6566874940887639,-0.8749231119522226,-0.6438970497876535,-1.4869582788605835,,-0.7891572993113665,mols/page_0002.png,12,7.425373554229736,226.8843231201172,5002.5537109375,1.6004060506820679
33,[O][=C][Branch2][Ring1][S][C][N][Branch2][Ring1][=Branch1][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][N][C][N][Branch2][Ring2][Ring2][C][=Branch1][C][=O][C][N][Branch2][Ring1][=Branch1][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][C][N][Branch2][Ring2][Ring2][C][=Branch1][C][=O][C][N][Branch2][Ring1][=Branch1][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][C][Ring2][Ring2][#Branch2],O=C(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N1CN(C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CN(C(=O)CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C1,3.5744805547995004,0.722910864595867,0.5805896816007532,0.6489469225132983,0.0651083145194389,,0.5919647370064182,mols/page_0002.png,13,8.262728691101074,296.4149475097656,6412.29931640625,1.7515034675598145
34,[C][=N][O][=N+1][Branch1][C][O-1][C][=N][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][C][=O][O-1],C=NO[N+]([O-])C=NC([N+](C)O[O-])[N+](=O)[O-],2.116601054988479,-0.0013279743305048,-0.3690141523183865,0.0838158048676689,-1.4140201601631186,,-0.2004612257314671,mols/page_0002.png,14,7.823147773742676,251.05186462402344,5796.06787109375,1.6075067520141602
35,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][O-1][C][O-1][C][=O][O-1][C][Branch1][C][O],O=[N+]([O-])C=CC([N+]([O-])C[O-])[N+](=O)[O-],2.076437499842364,1.016597983226916,0.7409939497692605,0.9827420168937636,-0.2706176477302501,,0.8054330252335246,mols/page_0002.png,15,8.440983772277832,304.0775451660156,6776.27685546875,1.7188197374343872
36,[O][=N+1][Branch1][C][O-1][C][=N][C][Branch1][Ring1][N+1],[N+]CN=C[N+](=O)[O-],1.4878467081635287,0.7027738277105854,0.4135306499170187,0.5758360770913536,-0.5704886439163033,,0.4523616858518122,mols/page_0002.png,16,8.250506401062012,288.4344482421875,6332.57763671875,1.6896265745162964
37,[O][=C][Branch2][Ring1][=C][N][C][N][C][=Branch1][C][=O][O][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][O][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1],O=C(NCNC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.227950530827869,0.6054542435501163,0.580827328910695,0.1911163928611596,0.4159361959816831,,0.414610569857835,mols/page_0002.png,17,8.191437721252441,296.4263000488281,5913.07080078125,1.7856574058532715
38,[C][C][N][=N][O][N+1][=Ring2][C][=O][O-1][=N],CCN=NO[N+][O-],1.4878467081635287,-1.6343000968267658,-1.7872380386635476,-1.3843195579348058,-2.799412162314979,,-1.6890535732779988,mols/page_0002.png,18,6.832005977630615,183.30255126953125,4195.1806640625,1.4726355075836182
39,[C][N][Branch1][=Branch2][C][C][N][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1],CN(CCN[N+](=O)[O-])[N+](=O)[O-],1.518091503851731,-0.9308480033337456,-1.2351303142096406,-0.5418409906211477,-2.595196450579357,,-1.017750620692241,mols/page_0002.png,19,7.258970260620117,209.67703247070312,5113.837890625,1.4925163984298706
