step,avg_reward,avg_len,time,lr
740,-1.794560,34.446,1770472664.343,2e-05
1480,-9.966336,26.527,1770472962.700,2e-05
2220,-8.792784,28.405,1770473262.591,2e-05
2960,-9.104373,24.622,1770473565.064,2e-05
3700,-8.057999,30.541,1770473873.158,2e-05
4440,-6.645414,28.284,1770474181.869,2e-05
5180,-8.149389,23.730,1770474492.501,2e-05
5920,-6.739662,27.716,1770474804.873,2e-05
6660,-5.950977,29.149,1770475117.874,2e-05
7400,-7.956336,30.041,1770475431.606,2e-05
8140,-8.124952,26.743,1770475745.651,2e-05
8880,-6.174485,27.081,1770476061.489,2e-05
9620,-7.283576,28.824,1770476377.515,2e-05
10360,-5.106983,26.554,1770476695.900,2e-05
11100,-6.225051,30.838,1770477014.330,2e-05
11840,-6.938850,29.446,1770477333.466,2e-05
12580,-6.563523,29.149,1770477653.192,2e-05
13320,-7.402838,30.324,1770477972.911,2e-05
14060,-5.517580,24.284,1770478294.824,2e-05
14800,-7.810205,26.892,1770478612.608,2e-05
15540,-5.746454,26.784,1770478930.698,2e-05
16280,-5.692465,27.392,1770479251.441,2e-05
17020,-5.975781,32.122,1770479572.129,2e-05
17760,-3.799372,28.176,1770479894.714,2e-05
18500,-4.407691,26.324,1770480216.236,2e-05
19240,-4.656055,31.041,1770480537.774,2e-05
19980,-5.238165,31.162,1770480860.373,2e-05
20720,-5.681790,29.527,1770481181.278,2e-05
21460,-4.337066,26.230,1770481502.047,2e-05
22200,-3.981593,27.486,1770481825.169,2e-05
22940,-4.312566,26.892,1770482148.826,2e-05
23680,-4.047787,26.068,1770482471.380,2e-05
24420,-2.484268,29.297,1770482796.778,2e-05
25160,-4.336755,26.054,1770483120.848,2e-05
25900,-4.254589,27.703,1770483444.571,2e-05
26640,-4.281116,25.108,1770483767.303,2e-05
27380,-4.186528,25.000,1770484089.737,2e-05
28120,-4.728899,25.973,1770484412.506,2e-05
28860,-3.307861,29.500,1770484739.844,2e-05
29600,-2.695616,29.824,1770485068.103,2e-05
30340,-4.062027,27.054,1770485395.037,2e-05
31080,-5.075776,27.932,1770485719.685,2e-05
31820,-3.745274,29.189,1770486044.977,2e-05
32560,-3.780773,29.514,1770486370.057,2e-05
33300,-2.796782,27.459,1770486696.337,2e-05
34040,-3.936081,26.514,1770487022.017,2e-05
34780,-2.701840,33.041,1770487353.873,2e-05
35520,-3.186960,31.973,1770487690.808,2e-05
36260,-1.713271,33.581,1770488025.496,2e-05
37000,-2.454594,32.324,1770488360.541,2e-05
37740,-2.885077,30.270,1770488697.016,2e-05
38480,-1.704790,29.662,1770489031.261,2e-05
39220,-3.384132,30.581,1770489363.429,2e-05
39960,-2.916223,27.365,1770489694.041,2e-05
40700,-2.301368,26.338,1770490022.349,2e-05
41440,-4.035240,26.743,1770490350.755,2e-05
42180,-2.909515,28.149,1770490678.420,2e-05
42920,-2.782560,28.527,1770491006.377,2e-05
43660,-2.021652,32.027,1770491336.555,2e-05
44400,-3.249366,28.676,1770491668.824,2e-05
45140,-2.748501,28.784,1770492003.771,2e-05
45880,-2.195813,28.486,1770492337.808,2e-05
46620,-2.402099,31.000,1770492671.289,2e-05
47360,-1.885130,29.919,1770493005.632,2e-05
48100,-2.067399,31.716,1770493342.949,2e-05
48840,-2.348680,27.946,1770493678.628,2e-05
49580,-3.100502,33.865,1770494014.315,2e-05
50320,-3.616045,31.459,1770494349.130,2e-05
51060,-2.861500,35.081,1770494686.508,2e-05
51800,-2.142232,32.622,1770495024.299,2e-05
52540,-1.863835,30.135,1770495364.943,2e-05
53280,-2.193313,27.649,1770495705.056,2e-05
54020,-1.830682,31.081,1770496043.413,2e-05
54760,-2.094718,29.986,1770496383.096,2e-05
55500,-1.791479,32.203,1770496724.083,2e-05
56240,-2.859486,36.108,1770497065.954,2e-05
56980,-1.602144,29.095,1770497403.494,2e-05
57720,-1.975120,30.865,1770497741.253,2e-05
58460,-0.935463,29.811,1770498080.500,2e-05
59200,-1.422729,29.878,1770498417.599,2e-05
59940,-1.684042,31.500,1770498760.320,2e-05
60680,-1.187408,31.176,1770499101.399,2e-05
61420,-1.510840,33.554,1770499444.976,2e-05
62160,-1.591882,32.284,1770499783.191,2e-05
62900,-1.032799,32.595,1770500123.747,2e-05
63640,-1.385981,30.568,1770500463.892,2e-05
64380,-1.180430,34.770,1770500804.563,2e-05
65120,-0.521835,30.676,1770501145.219,2e-05
65860,-1.800023,30.446,1770501488.989,2e-05
66600,-0.693830,29.730,1770501832.149,2e-05
67340,-0.135354,32.270,1770502178.843,2e-05
68080,-0.653798,34.541,1770502522.687,2e-05
68820,-0.942540,33.351,1770502866.366,2e-05
69560,-0.695936,34.324,1770503212.417,2e-05
70300,-0.552603,38.432,1770503559.444,2e-05
71040,-1.671801,35.986,1770503908.161,2e-05
71780,-0.542675,38.054,1770504257.620,2e-05
72520,-1.579234,35.108,1770504606.624,2e-05
73260,-1.061702,35.851,1770504954.335,2e-05
74000,-0.834262,36.770,1770505306.373,2e-05
74740,-1.305928,41.946,1770505663.967,2e-05
75480,-1.467886,39.014,1770506020.600,2e-05
76220,-1.154724,41.284,1770506379.348,2e-05
76960,-0.873394,43.716,1770506740.144,2e-05
77700,-0.728233,39.081,1770507097.050,2e-05
78440,-0.961777,39.716,1770507454.726,2e-05
79180,-2.118245,37.959,1770507812.592,2e-05
79920,-1.531853,37.297,1770508170.756,2e-05
80660,-1.440917,40.230,1770508528.241,2e-05
81400,-1.155323,43.297,1770508887.495,2e-05
82140,-1.426695,43.297,1770509248.175,2e-05
82880,-1.872180,37.838,1770509613.337,2e-05
83620,-0.624016,39.838,1770509975.567,2e-05
84360,-1.068708,41.243,1770510341.940,2e-05
85100,-1.807767,44.581,1770510710.859,2e-05
85840,-1.408458,48.068,1770511079.637,2e-05
86580,-2.805567,47.041,1770511445.022,2e-05
87320,-0.589735,40.054,1770511811.488,2e-05
88060,-2.006310,44.405,1770512180.598,2e-05
88800,-2.887916,40.257,1770512546.988,2e-05
89540,-1.201577,50.230,1770512920.603,2e-05
90280,-0.408202,48.514,1770513292.133,2e-05
91020,-1.732561,48.635,1770513664.995,2e-05
91760,-0.708022,43.568,1770514033.384,2e-05
92500,-1.084873,45.189,1770514400.559,2e-05
93240,-0.753879,43.378,1770514758.670,2e-05
93980,-1.996073,46.000,1770515118.381,2e-05
94720,-1.259313,44.149,1770515475.232,2e-05
95460,-1.371213,46.514,1770515832.327,2e-05
96200,-2.266299,39.432,1770516190.195,2e-05
96940,-1.610763,45.527,1770516549.349,2e-05
97680,-1.258585,44.892,1770516903.243,2e-05
98420,-2.286871,50.541,1770517264.892,2e-05
99160,-1.950250,43.095,1770517623.637,2e-05
99900,-1.865086,47.919,1770517982.107,2e-05
100048,-1.568635,45.716,1770518054.619,2e-05
