index,selfies,smiles,SA,pred_D,pred_P,pred_EG,pred_r0,vgae_score,reward,img_page,img_tile
0,smiles,,1.5,0.062493516986974106,0.03594995997808408,0.02666736715538344,-0.08951951750876239,,0.030372608976835785,mols/page_0001.png,0
1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c[nH]nn2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c[nH]nn2)c([N+](=O)[O-])c1,1.506423335035418,-1.01662131599363,-0.8918660235936833,-0.8733411558487527,-0.1762738167361277,,-0.8593399383116764,mols/page_0001.png,1
2,O=[N+]([O-])c1cc(-n2cc([N+](=O)[O-])nn2)cc([N+](=O)[O-])c1,O=[N+]([O-])c1cc(-n2cc([N+](=O)[O-])nn2)cc([N+](=O)[O-])c1,1.4839038473124213,-1.1118370071773986,-0.9750199033649971,-0.9561050330264447,-0.29983452865229365,,-0.9506586346434291,mols/page_0001.png,2
3,O=[N+]([O-])c1cn(-c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)nn1,O=[N+]([O-])c1cn(-c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)nn1,1.4839038473124213,-1.0762224514220744,-0.9341257203677821,-0.9152826093598423,-0.3420753301731156,,-0.9199437594653327,mols/page_0001.png,3
4,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3c([N+](=O)[O-])cc([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3c([N+](=O)[O-])cc([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,1.7025801340811582,-0.7253476250042629,-0.5621770161397279,-0.7004199233971984,0.3179849495979403,,-0.5658312594829159,mols/page_0001.png,4
5,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])cc([N+](=O)[O-])c32)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])cc([N+](=O)[O-])c32)c([N+](=O)[O-])c1,1.7025801340811582,-0.7356628284337162,-0.571032572619336,-0.7141697955079733,0.31938824153158085,,-0.5753953864614367,mols/page_0001.png,5
6,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc4c(cc32)nnn4-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc4c(cc32)nnn4-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,2.1422400836961355,-1.1533806444469714,-0.9378370430750598,-1.152666498603256,0.18148970653426624,,-0.9550519924763453,mols/page_0001.png,6
7,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nnn[nH]2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nnn[nH]2)c([N+](=O)[O-])c1,1.486423335035418,-0.3483485442346151,-0.2514799895386271,-0.35820187928691893,0.4745352670849685,,-0.23946293045693628,mols/page_0001.png,7
8,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])c([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])c([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,1.7025801340811582,-0.7087505962418387,-0.549256221335348,-0.6890957354271147,0.33090846012816866,,-0.5520226629292098,mols/page_0001.png,8
9,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1,1.9783993249990475,-0.7192339225603934,-0.6042942522952325,-0.7064395785390322,0.1738328265507986,,-0.5922467605643856,mols/page_0001.png,9
10,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2ccnn2)c1[N+](=O)[O-],Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2ccnn2)c1[N+](=O)[O-],1.506423335035418,-0.98663259205539,-0.8267845190229085,-0.8533042973367766,-0.0648468044451306,,-0.8131675177049663,mols/page_0001.png,10
11,O=[N+]([O-])c1cnn[nH]1,O=[N+]([O-])c1cnn[nH]1,1.3244996950521224,0.0496132610672569,0.1182826149727037,-0.26966642321142914,0.7928596746496971,,0.06471878752746346,mols/page_0001.png,11
